,V1,V2,V3,V4,V5
https://www.class-central.com/mooc/1403/coursera-the-addicted-brain,drugs,drug,neurotransmission,addiction,brain
https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners,chinese,shopping,weather,daily,china
https://www.class-central.com/mooc/4239/coursera-html-css-and-javascript,javascript,css,html,web,arrays
https://www.class-central.com/mooc/1371/coursera-international-leadership-and-organizational-behavior,intercultural,bocconi,leadership,alumni,motivation
https://www.class-central.com/mooc/2445/coursera-process-mining-data-science-in-action,mining,process,event,data,conformance
https://www.class-central.com/mooc/564/coursera-introduction-to-engineering-mechanics,equilibrium,force,section,problems,moment
https://www.class-central.com/mooc/1725/coursera-algorithmic-thinking-part-1,graph,algorithms,algorithmic,graphs,math
https://www.class-central.com/mooc/3076/coursera-programming-mobile-applications-for-android-handheld-systems-part-2,notifications,scratch,graphics,multimedia,touch
https://www.class-central.com/mooc/1312/coursera-on-strategy-what-managers-can-learn-from-philosophy-part-1,thinking,boxes,rediscover,box,change
https://www.class-central.com/mooc/722/coursera-from-the-big-bang-to-dark-energy,universe,dark,antimatter,matter,mysterious
https://www.class-central.com/mooc/2728/coursera-initiating-and-planning-projects,project,upfront,identify,authority,responsibilities
https://www.class-central.com/mooc/866/coursera-teaching-character-and-creating-positive-classrooms,character,teaching,characterbased,humantohuman,integrate
https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics,languages,linguists,language,linguistics,inge
https://www.class-central.com/mooc/4353/coursera-customer-analytics,analytics,data,customer,prescriptive,business
https://www.class-central.com/mooc/3476/coursera-python-for-genomic-data-science,threepart,lecture,biopython,ifs,python
https://www.class-central.com/mooc/4289/coursera-machine-learning-regression,regression,model,predictions,ridge,descent
https://www.class-central.com/mooc/690/coursera-history-of-rock-part-one,rock,music,pop,beatles,roll
https://www.class-central.com/mooc/3627/coursera-dog-emotion-and-cognition,dogs,dog,hare,cognition,dognition
https://www.class-central.com/mooc/1456/coursera-introduction-to-physical-chemistry,thermodynamics,reactions,lab,kinetics,quantum
https://www.class-central.com/mooc/2726/coursera-finance-for-non-financial-professionals,finance,financial,accounting,nonfinancial,costing
https://www.class-central.com/mooc/3884/coursera-writing-for-young-readers-opening-the-treasure-chest,writing,publishing,readers,plot,editing
https://www.class-central.com/mooc/487/coursera-discrete-optimization,optimization,organizes,routing,vehicle,clears
https://www.class-central.com/mooc/1051/coursera-economics-of-money-and-banking-part-one,money,monetary,settlement,banking,crisis
https://www.class-central.com/mooc/434/coursera-introduction-to-sustainability,sustainability,water,climate,energy,environmental
