,V1,V2,V3,V4,V5,V6,V7,V8
https://www.class-central.com/mooc/598/coursera-the-modern-and-the-postmodern-part-1,modernity,philosophy,enlightenment,baudelaire,nietzsche,charles,rousseau,postmodern
https://www.class-central.com/mooc/617/coursera-english-composition-i,writing,comer,oped,revision,selfreflection,visual,prose,write
https://www.class-central.com/mooc/2717/coursera-cloud-computing-concepts-part-1,widelyused,computing,algorithms,keyvalue,distributed,cloud,classical,clouds
https://www.class-central.com/mooc/706/coursera-competitive-strategy,strategic,analyse,strategy,market,products,competitors,companies,partnerships
https://www.class-central.com/mooc/2406/coursera-mining-massive-datasets,localitysensitive,mapreduce,hashing,pagerank,algorithms,dimensionality,link,large
https://www.class-central.com/mooc/1057/coursera-dino-101-dinosaur-paleobiology,dinosaur,dinosaurs,defence,tectonics,appearances,locomotion,plate,feeding
https://www.class-central.com/mooc/3433/coursera-algorithms-for-dna-sequencing,dna,sequencing,matching,algorithms,assembly,alignment,edit,approximate
https://www.class-central.com/mooc/426/coursera-algorithms-design-and-analysis-part-2,algorithms,algorithm,mst,huffman,knapsack,search,trees,npcomplete
https://www.class-central.com/mooc/1720/coursera-developing-data-products,shiny,rcharts,data,packages,week,googlevis,slidify,yhat
https://www.class-central.com/mooc/4236/coursera-grammar-and-punctuation,commas,sentences,writing,grammar,conjunctions,tenses,sentence,english
https://www.class-central.com/mooc/625/coursera-introduction-to-corporate-finance,cash,discounted,flow,comfortable,money,finance,compounding,financing
https://www.class-central.com/mooc/502/coursera-the-ancient-greeks,athens,athenians,sparta,greek,war,athenian,poleis,bce
https://www.class-central.com/mooc/816/coursera-child-nutrition-and-cooking,foods,eating,meal,childhood,supermarket,allergies,children,labels
https://www.class-central.com/mooc/3289/coursera-finding-hidden-messages-in-dna-bioinformatics-i,dna,bioinformatics,hidden,description,messages,replication,genome,question
https://www.class-central.com/mooc/546/coursera-foundations-of-business-strategy,competitive,positioning,analyzing,firm,piaggio,redhook,swot,capabilities
https://www.class-central.com/mooc/1031/coursera-beginning-game-programming-with-c,submit,increment,monogamexna,programming,complete,assignment,peer,game
https://www.class-central.com/mooc/730/coursera-exploring-beethoven-s-piano-sonatas,beethovens,sonata,sonatas,beethoven,music,lecture,piano,composers
https://www.class-central.com/mooc/522/coursera-introduction-to-guitar,guitar,chords,playing,instrument,scales,music,lesson,electric
https://www.class-central.com/mooc/376/coursera-automata,automata,proofs,contextfree,regular,intractable,turing,grammars,finite
https://www.class-central.com/mooc/1705/coursera-the-french-revolution,revolution,revolutionary,terror,france,reflect,violence,french,regime
https://www.class-central.com/mooc/384/coursera-medical-neuroscience,sensory,motor,brain,neuroscience,sensation,medical,neural,cerebral
https://www.class-central.com/mooc/2754/coursera-digital-analytics-for-marketing-professionals-marketing-analytics-in-practice,data,marketing,analytics,analysis,activities,collecting,result,map
https://www.class-central.com/mooc/2737/coursera-data-visualization,visualization,pattern,data,mining,discovery,coordinates,patterns,weeks
https://www.class-central.com/mooc/596/coursera-mathematical-biostatistics-boot-camp-1,biostatistics,probability,bootstrapping,proportions,mathematical,binomial,conditional,intervals
https://www.class-central.com/mooc/4272/coursera-using-databases-with-python,database,sql,data,oriented,object,visualization,multistep,python
https://www.class-central.com/mooc/2782/coursera-project-management-the-basics-for-success,leadership,project,wbs,scheduling,teamwork,combines,elements,responsibilities
https://www.class-central.com/mooc/1355/coursera-buddhism-and-modern-psychology,buddhist,meditation,doctrines,mind,buddhism,claims,sense,dalai
https://www.class-central.com/mooc/505/coursera-coding-the-matrix-linear-algebra-through-computer-science-applications,vector,algebra,image,linear,matrix,transformations,detection,graphics
https://www.class-central.com/mooc/5991/coursera-the-3d-printing-revolution,printing,printers,revolutionize,revolutionary,mba,specialization,orientation,onlocation
https://www.class-central.com/mooc/3198/coursera-principles-of-computing-part-2,assertions,invariants,recursion,searching,trees,programming,portion,mathematical
https://www.class-central.com/mooc/1264/coursera-introduction-to-forensic-science,forensic,forensics,blood,poison,dead,dna,carpet,convict
https://www.class-central.com/mooc/4392/coursera-a-crash-course-in-data-science,data,science,sacrificing,crash,convenient,speed,httpsflickrpgdmuht,onemodule
https://www.class-central.com/mooc/1726/coursera-developing-your-musicianship,minor,chord,pentatonic,song,blues,major,music,scale
https://www.class-central.com/mooc/1403/coursera-the-addicted-brain,drugs,drug,neurotransmission,addiction,brain,addicting,recognize,completion
https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners,chinese,shopping,weather,daily,china,talk,phonetics,mandarin
https://www.class-central.com/mooc/4239/coursera-html-css-and-javascript,javascript,css,html,web,arrays,loops,dom,page
https://www.class-central.com/mooc/1371/coursera-international-leadership-and-organizational-behavior,intercultural,bocconi,leadership,alumni,motivation,international,leaders,communication
https://www.class-central.com/mooc/2445/coursera-process-mining-data-science-in-action,mining,process,event,data,conformance,log,model,discovery
https://www.class-central.com/mooc/564/coursera-introduction-to-engineering-mechanics,equilibrium,force,section,problems,moment,reinforced,whiteman,wayne
https://www.class-central.com/mooc/1725/coursera-algorithmic-thinking-part-1,graph,algorithms,algorithmic,graphs,math,bruteforce,pseudocode,python
https://www.class-central.com/mooc/3076/coursera-programming-mobile-applications-for-android-handheld-systems-part-2,notifications,scratch,graphics,multimedia,touch,alarms,broadcastreceivers,mobile
https://www.class-central.com/mooc/1312/coursera-on-strategy-what-managers-can-learn-from-philosophy-part-1,thinking,boxes,rediscover,box,change,philosophers,keyword,mental
https://www.class-central.com/mooc/722/coursera-from-the-big-bang-to-dark-energy,universe,dark,antimatter,matter,mysterious,bang,inflation,energy
https://www.class-central.com/mooc/2728/coursera-initiating-and-planning-projects,project,upfront,identify,authority,responsibilities,participating,scope,wrap
https://www.class-central.com/mooc/866/coursera-teaching-character-and-creating-positive-classrooms,character,teaching,characterbased,humantohuman,integrate,education,psychology,gratitude
https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics,languages,linguists,language,linguistics,inge,marten,informants,chomsky
https://www.class-central.com/mooc/4353/coursera-customer-analytics,analytics,data,customer,prescriptive,business,datadriven,predictive,decisions
https://www.class-central.com/mooc/3476/coursera-python-for-genomic-data-science,threepart,lecture,biopython,ifs,python,ipython,notebook,week
https://www.class-central.com/mooc/4289/coursera-machine-learning-regression,regression,model,predictions,ridge,descent,fit,lasso,models
https://www.class-central.com/mooc/690/coursera-history-of-rock-part-one,rock,music,pop,beatles,roll,rise,berry,psychedelic
